Source,Target,Type,Id,Weight
DEU,DOM,Directed,2573,25147
USA,GMB,Directed,10688,25142
ESP,HND,Directed,8024,25094
DEU,LCA,Directed,2645,25041
GRC,PRT,Directed,54493,25038
KOR,ZMB,Directed,7021,25030
SAU,MUS,Directed,7228,24929
BGR,TUR,Directed,57440,24842
JPN,PER,Directed,4611,24802
NLD,BRA,Directed,49329,24749
KEN,DEU,Directed,51623,24665
BRA,JPN,Directed,442,24490
ESP,BHR,Directed,7934,24484
ESP,OMN,Directed,8125,24447
DEU,ATG,Directed,2539,24431
VNM,CHE,Directed,56777,24404
BEL,ARE,Directed,57614,24349
ISR,FIN,Directed,51037,24348
IRL,TUR,Directed,57422,24268
ISL,FRO,Directed,3764,24266
JPN,CUB,Directed,4562,24189
BOL,USA,Directed,58047,24062
USA,TON,Directed,10637,24052
JPN,CMR,Directed,4554,24032
LAO,CAN,Directed,64811,23995
TUR,MAR,Directed,10268,23907
CYP,SYR,Directed,1471,23894
AUS,TON,Directed,18,23710
IRL,ISL,Directed,52163,23708
CAN,BGD,Directed,11986,23575
IDN,BGD,Directed,4217,23538
ARE,AUS,Directed,10548,23524
BEL,CHN,Directed,50126,23448
IDN,PRY,Directed,4282,23390
BRA,SGP,Directed,461,23379
BRA,IDN,Directed,438,23346
JAM,DMA,Directed,4475,23282
IND,GIN,Directed,3839,23278
IDN,PAK,Directed,4234,23276
DNK,BGR,Directed,1603,23267
THA,REU,Directed,9409,23255
DEU,BFA,Directed,2673,23233
IND,MOZ,Directed,3903,23191
ESP,CRI,Directed,8003,23190
THA,VEN,Directed,9517,23086
ECU,CHL,Directed,2152,23054
SUN,SGP,Directed,55530,22945
IRL,CYP,Directed,50274,22942
JPN,LBN,Directed,4592,22941
AUS,ITA,Directed,48,22904
IDN,LBY,Directed,28944,22875
IND,TTO,Directed,3917,22813
USA,GAB,Directed,10687,22762
SGP,GAB,Directed,7410,22678
PRK,IDN,Directed,52526,22673
JOR,DEU,Directed,51428,22630
SAU,GRC,Directed,38761,22617
CSK,THA,Directed,57033,22607
THA,SLE,Directed,9498,22522
KOR,BRN,Directed,6863,22416
ARE,SGP,Directed,10559,22317
MEX,BEL,Directed,5669,22285
JAM,GRD,Directed,4476,22264
COL,GTM,Directed,1306,22214
BEL,LKA,Directed,56323,22125
KOR,MLT,Directed,6500,22084
EGY,CAN,Directed,49776,22081
BRA,AIA,Directed,457,22080
JPN,BGR,Directed,4552,22041
KOR,BRB,Directed,6463,22016
DEU,ETH,Directed,2576,21802
MDG,DEU,Directed,5297,21770
BGR,CYP,Directed,50318,21765
JAM,LCA,Directed,4479,21756
CHE,ARG,Directed,8687,21753
CAN,IND,Directed,787,21714
THA,BEN,Directed,9390,21651
VNM,ESP,Directed,56160,21589
CHE,PRY,Directed,8996,21579
DEU,SLV,Directed,2575,21494
BRA,FIN,Directed,487,21492
ITA,MWI,Directed,53275,21400
PER,CAN,Directed,49608,21388
BRA,CSK,Directed,41440,21265
CHE,PER,Directed,8756,21050
