Source,Target,Type,Id,Weight
BRA,MEX,Directed,3838,24495241
POL,ITA,Directed,50901,24386816
TUR,IRQ,Directed,33013,24378981
KOR,UKR,Directed,52111,24365742
ROU,BGR,Directed,98486,24106950
IDN,IND,Directed,14664,23924070
CHN,ETH,Directed,141309,23911413
JPN,NLD,Directed,48451,23888854
DEU,IRN,Directed,44724,23790080
CZE,FRA,Directed,6411,23775760
BEL,AUS,Directed,93957,23767104
ESP,USA,Directed,179034,23755374
DEU,LVA,Directed,10260,23722753
JPN,ARE,Directed,155493,23685598
USA,COL,Directed,36720,23683586
CHN,TGO,Directed,40570,23625287
POL,LVA,Directed,22599,23603544
GBR,BRA,Directed,34874,23568811
CHE,USA,Directed,133706,23485314
SAU,EGY,Directed,25813,23430538
THA,ZAF,Directed,126772,23409805
NLD,RUS,Directed,19886,23395215
JPN,AUS,Directed,94131,23393867
IDN,SGP,Directed,125140,23298137
TUR,EGY,Directed,33705,23258002
BEL,FIN,Directed,104631,23155589
SWE,LUX,Directed,29943,22996751
ARE,USA,Directed,34733,22950766
IND,NGA,Directed,118205,22819521
TUR,IRN,Directed,33001,22815847
SWE,RUS,Directed,30082,22759067
KOR,ARG,Directed,23558,22670830
FRA,HUN,Directed,108765,22558122
CHE,POL,Directed,120905,22499566
BEL,IRL,Directed,2673,22491878
IND,LKA,Directed,127745,22476088
SGP,THA,Directed,26599,22450273
GTM,HND,Directed,108551,22435744
IRL,BEL,Directed,136972,22418038
DEU,KOR,Directed,10849,22352304
SYR,LBY,Directed,31222,22248574
NLD,AUT,Directed,19793,22227889
KOR,ISR,Directed,51713,22212662
BEL,UKR,Directed,131386,22167672
VNM,TUR,Directed,58966,21959019
USA,CHL,Directed,36717,21911630
PRT,ITA,Directed,23189,21898347
CHN,GHA,Directed,107231,21867490
DEU,ISR,Directed,10840,21732961
PRT,USA,Directed,51365,21725274
SVN,ITA,Directed,27296,21714938
IND,MEX,Directed,115941,21645197
MEX,CHN,Directed,18760,21619246
GBR,ARE,Directed,34998,21415423
JPN,ITA,Directed,15966,21248254
USA,CRI,Directed,100748,21183521
UKR,BLR,Directed,33850,20999454
HUN,RUS,Directed,12814,20751365
GBR,CZE,Directed,102179,20742307
ITA,FIN,Directed,104802,20718477
BEL,HUN,Directed,2163,20716410
UKR,MDA,Directed,33887,20708772
BEL,ROU,Directed,122444,20621755
AUT,HRV,Directed,1033,20581972
DEU,EGY,Directed,10936,20560694
CHE,TUR,Directed,131052,20529612
UKR,DEU,Directed,33868,20422694
CZE,ESP,Directed,175466,20366632
BRA,ESP,Directed,127061,20320926
PRT,SYR,Directed,153822,20250935
BGR,TUR,Directed,39967,20225353
CHN,KAZ,Directed,111444,20218975
KOR,PER,Directed,24277,20160540
KWT,ARE,Directed,131981,20129373
NLD,LUX,Directed,20117,20057958
DNK,BEL,Directed,6967,20028213
DEU,MAR,Directed,147435,19932035
JPN,BEL,Directed,15694,19925088
SAU,USA,Directed,73150,19922588
NLD,FIN,Directed,19829,19824253
USA,MYS,Directed,114586,19811605
GRC,DEU,Directed,12006,19705488
SGP,FRA,Directed,105496,19635202
ESP,CZE,Directed,102081,19618081
IRL,FRA,Directed,105469,19597534
DEU,DZA,Directed,10329,19520624
ESP,DZA,Directed,92798,19508863
SYR,KWT,Directed,31211,19353989
NLD,IRL,Directed,19519,19339591
PHL,JPN,Directed,22145,19302374
FRA,AUS,Directed,9112,19190644
USA,ARE,Directed,132233,19177289
SVK,UKR,Directed,131324,19131610
BEL,SVK,Directed,2724,19129374
BLR,IRN,Directed,38617,19126504
THA,ITA,Directed,31809,19125019
FIN,USA,Directed,178999,19042498
DEU,SYR,Directed,153798,19022331
IND,ZAF,Directed,126695,19011704
CHN,LBN,Directed,112951,19004049
ITA,MAR,Directed,116622,18986692
COL,USA,Directed,133580,18910185
USA,PER,Directed,36797,18878469
CHN,CZE,Directed,101731,18799142
CHN,PRY,Directed,119679,18770548
KOR,EST,Directed,141193,18686720
HUN,FRA,Directed,12625,18660193
IND,CAN,Directed,99626,18630401
FRA,GRC,Directed,107555,18568087
PRT,NLD,Directed,71986,18567805
TUR,LBY,Directed,33179,18544324
THA,KHM,Directed,31528,18498816
SVK,HUN,Directed,26830,18394637
PER,BRA,Directed,21947,18384848
ESP,POL,Directed,28669,18291433
DEU,BIH,Directed,97298,18235034
ISR,ESP,Directed,15500,18231973
TUR,CZE,Directed,32828,18214360
SAU,SDN,Directed,25767,18198693
MEX,GTM,Directed,18861,18193476
HUN,AUT,Directed,12496,18136555
FRA,DZA,Directed,92649,18129762
POL,SWE,Directed,22823,18116641
BLR,CHN,Directed,38578,17886829
FRA,LUX,Directed,9726,17886553
POL,BEL,Directed,96419,17761204
SVN,RUS,Directed,27416,17713985
ISR,FRA,Directed,15272,17702482
FRA,IRL,Directed,9426,17697532
USA,ZAF,Directed,126832,17684575
ARE,LBY,Directed,113264,17660762
USA,ISR,Directed,36756,17640281
DOM,USA,Directed,7674,17574281
SYR,LBN,Directed,31213,17559929
COL,PER,Directed,119862,17540055
THA,SGP,Directed,32163,17530276
NLD,TUR,Directed,19909,17444865
PRT,AGO,Directed,22955,17421431
KOR,ECU,Directed,140793,17391706
FRA,CAN,Directed,9123,17305468
ITA,MEX,Directed,115766,17213364
HUN,GBR,Directed,12956,17180177
TUR,SAU,Directed,33439,17096874
THA,SDN,Directed,105188,17084015
CHN,YEM,Directed,40586,17063709
IND,FRA,Directed,105495,17060330
TUR,UZB,Directed,33765,17042614
GBR,IND,Directed,35526,17031112
CHN,PRT,Directed,121048,16995391
NLD,NOR,Directed,19877,16991519
ITA,AUS,Directed,94114,16913288
GBR,PRT,Directed,121389,16896409
TUR,IRL,Directed,33030,16874796
GBR,NOR,Directed,118724,16781290
USA,PHL,Directed,36940,16657320
LUX,CHN,Directed,161297,16656721
PHL,CHN,Directed,22106,16608895
JPN,TUR,Directed,130810,16603875
BRA,COL,Directed,3610,16536852
SWE,ESP,Directed,30159,16526767
SVN,CZE,Directed,27202,16493835
DEU,BLR,Directed,10790,16485316
CRI,USA,Directed,5890,16445532
FIN,EST,Directed,8485,16422082
ARG,URY,Directed,346,16381548
SVK,ITA,Directed,26847,16367346
TUR,ARE,Directed,132200,16325096
SWE,CHN,Directed,29657,16254341
MYS,BRA,Directed,97846,16228548
BHR,SAU,Directed,123949,16162470
HUN,CZE,Directed,101835,16139916
COL,MEX,Directed,115604,16131920
THA,SYR,Directed,32240,16082299
CAN,CHN,Directed,5087,16059484
SGP,USA,Directed,26638,16054310
PER,VEN,Directed,22070,16034841
GRC,GBR,Directed,132472,16020650
GBR,SVK,Directed,125801,15997735
JPN,MEX,Directed,115784,15995049
IDN,NLD,Directed,14481,15980407
USA,SAU,Directed,124208,15892761
IDN,PAK,Directed,119097,15778816
CHN,BGR,Directed,98238,15738390
USA,VNM,Directed,58472,15701737
ITA,BRA,Directed,97788,15664529
BRA,VEN,Directed,60739,15660404
GRC,NLD,Directed,170377,15627913
SAU,IRQ,Directed,25640,15583000
TUR,SRB,Directed,33458,15553462
ITA,SAU,Directed,151226,15502712
BRA,PRY,Directed,119659,15457384
IRL,NLD,Directed,117266,15413314
THA,LKA,Directed,31553,15400691
CHN,KWT,Directed,167839,15393073
KOR,GRC,Directed,51663,15378772
LTU,POL,Directed,17522,15357117
CHN,ECU,Directed,102965,15353534
MYS,DEU,Directed,18182,15347106
IND,ISR,Directed,144300,15338060
SWE,USA,Directed,133486,15276554
CHN,TUN,Directed,130242,15261019
VNM,PHL,Directed,37873,15255666
THA,BEN,Directed,31621,15248230
BEL,NGA,Directed,148273,15205332
SGP,IND,Directed,26559,15188906
CHN,FIN,Directed,40475,15119811
USA,NZL,Directed,117967,15116214
CHN,AGO,Directed,93021,14967028
AUT,RUS,Directed,122987,14945888
SWE,SVK,Directed,125740,14933910
SAU,TUR,Directed,177410,14825757
BLR,DEU,Directed,1994,14813016
ITA,UKR,Directed,131495,14812929
IND,MUS,Directed,13672,14805333
PER,ECU,Directed,21997,14789337
ITA,DZA,Directed,92693,14784710
ARE,IND,Directed,57078,14754113
TUR,PRT,Directed,76581,14693880
IDN,CAN,Directed,14609,14677151
TUR,ZAF,Directed,33534,14638728
ESP,BGD,Directed,136424,14637729
DEU,CHL,Directed,138622,14595695
ZAF,ZWE,Directed,28058,14582233
SGP,VNM,Directed,134712,14578876
SWE,BEL,Directed,29594,14542074
ESP,CHE,Directed,28687,14441039
MYS,ARE,Directed,18489,14407997
PER,BOL,Directed,97139,14335365
DEU,THA,Directed,10925,14271048
BEL,SAU,Directed,123957,14259341
LTU,DNK,Directed,102429,14241555
ROU,POL,Directed,172115,14231950
SAU,PAK,Directed,25715,14203614
BEL,GRC,Directed,107468,14141855
PRT,BRA,Directed,51110,14108701
ZAF,GBR,Directed,73998,14107248
TUR,MDA,Directed,122382,14090603
ARE,OMN,Directed,56984,14062392
BGR,ITA,Directed,4358,14060510
SRB,BIH,Directed,25918,14049424
CAN,GBR,Directed,5177,14038621
PRT,MAR,Directed,51243,13996986
IDN,ZAF,Directed,14669,13988948
IDN,POL,Directed,120587,13960715
PRT,BEL,Directed,159226,13960560
PER,COL,Directed,21971,13936544
GRC,AUT,Directed,11880,13921394
GRC,FRA,Directed,11989,13914321
BEL,LTU,Directed,146097,13907388
SAU,GBR,Directed,132501,13894918
ESP,RUS,Directed,28673,13872489
HRV,BIH,Directed,5971,13861371
ISR,BEL,Directed,159190,13823204
DNK,USA,Directed,178996,13795386
IND,POL,Directed,149586,13746577
BRA,PER,Directed,3931,13692746
COL,ECU,Directed,102983,13675478
THA,CAN,Directed,99486,13667949
THA,GBR,Directed,132664,13657877
IND,SGP,Directed,13934,13642435
POL,DNK,Directed,22418,13642207
DNK,ITA,Directed,144743,13622300
BLR,LTU,Directed,38641,13551716
KOR,MAR,Directed,51835,13519267
JPN,ZAF,Directed,152459,13513575
ITA,SRB,Directed,124629,13448734
THA,ISR,Directed,55197,13444505
DEU,IDN,Directed,44723,13442270
VNM,MYS,Directed,114510,13437575
JPN,CAN,Directed,99457,13421167
CHE,CZE,Directed,102119,13415548
POL,CHE,Directed,128804,13413930
PRT,CAN,Directed,160682,13408898
THA,SAU,Directed,32112,13378369
DEU,SGP,Directed,10912,13344908
ITA,ZAF,Directed,126524,13340093
HUN,ITA,Directed,12682,13323663
ZAF,ZMB,Directed,28173,13302722
TUN,FRA,Directed,32496,13298779
ITA,NOR,Directed,118479,13222862
DEU,NGA,Directed,118121,13214399
GBR,CHE,Directed,128931,13209190
THA,MMR,Directed,31511,13176188
BEL,ZAF,Directed,126344,13151450
CHN,URY,Directed,133152,13146880
FRA,NOR,Directed,9190,13075880
SAU,CHN,Directed,25590,13070793
KOR,LKA,Directed,175666,13064627
IND,ARG,Directed,93636,13040278
ISR,TUR,Directed,177314,13036742
THA,BEL,Directed,31468,13002196
CHN,DNK,Directed,102265,12956529
KOR,NZL,Directed,117741,12929238
QAT,ARE,Directed,23524,12860337
THA,NLD,Directed,32000,12844435
THA,NGA,Directed,32022,12818006
VNM,JPN,Directed,145096,12758332
AUS,VNM,Directed,767,12739159
SVK,AUT,Directed,26677,12735043
