Source,Target,Type,ID,Weight
JPN,IDN,Directed,5420,280890832
USA,CRI,Directed,2524,278334031
KOR,NGA,Directed,9562,279655163
SVK,CZE,Directed,10777,277490418
MYS,IND,Directed,7207,274952628
USA,IDN,Directed,5512,250677904
SGP,KOR,Directed,10697,241228088
BRA,PER,Directed,8648,273916088
GBR,IRL,Directed,5674,256205456
PRT,NLD,Directed,8025,271621039
USA,DOM,Directed,13286,135911588
CHN,NLD,Directed,2147,240529525
FRA,CHN,Directed,2062,234735894
HUN,ROU,Directed,9769,257820468
CHN,IRN,Directed,2089,133689371
CHN,CHL,Directed,2019,258198405
SAU,BRA,Directed,1303,257678187
VNM,IDN,Directed,5514,252107747
BEL,RUS,Directed,925,253370067
NLD,RUS,Directed,9966,243508570
TUR,ROU,Directed,12597,252906261
BRA,COL,Directed,1176,250547424
DEU,BRA,Directed,1210,212521705
NLD,DNK,Directed,3072,231710715
SAU,TUN,Directed,10302,243464193
KOR,NLD,Directed,9557,213644818
ISR,TUR,Directed,12519,241919346
DEU,MEX,Directed,7538,188386698
ESP,NLD,Directed,11399,235211206
BEL,FIN,Directed,812,219187835
ESP,GBR,Directed,11476,238403361
GBR,CHN,Directed,2244,186177287
ARE,MYS,Directed,7335,188811113
IND,VNM,Directed,5334,225223193
SWE,POL,Directed,11674,231434679
BEL,CHE,Directed,958,220923092
CHN,BEL,Directed,1994,215543479
DEU,PRT,Directed,9131,207249611
IDN,VNM,Directed,5513,214037870
CHN,UKR,Directed,2239,113537409
RUS,UKR,Directed,10025,113092954
USA,RUS,Directed,10032,202078563
BEL,IND,Directed,5079,200509243
NLD,HUN,Directed,4936,188584740
NLD,USA,Directed,8093,215520686
NLD,FIN,Directed,3737,217259948
AUT,POL,Directed,8858,192045776
DEU,FIN,Directed,3688,187804007
MYS,BGD,Directed,7141,108678748
KOR,EGY,Directed,9468,209467605
IDN,MYS,Directed,7210,213567701
SAU,GRC,Directed,10195,202060711
BEL,PRT,Directed,916,197881201
SAU,NLD,Directed,8043,210034128
KOR,BGD,Directed,9423,105633915
GBR,ITA,Directed,6055,207387061
ZAF,NGA,Directed,11160,208978585
EGY,ITA,Directed,3313,204372478
PHL,CHN,Directed,2173,183179921
SAU,GBR,Directed,10311,205369235
CHN,KEN,Directed,2105,177179547
THA,USA,Directed,13461,200765171
SGP,USA,Directed,10744,203062929
POL,ITA,Directed,5996,199325112
FIN,RUS,Directed,9915,194239460
CHN,SAU,Directed,2190,195620821
SGP,BGD,Directed,10556,99424780
USA,FRA,Directed,4069,178228387
DEU,LUX,Directed,6957,191856816
CZE,ITA,Directed,2853,192654189
QAT,PAK,Directed,8541,185739557
SAU,THA,Directed,12207,151712074
SAU,MMR,Directed,7762,158034558
MYS,SGP,Directed,10656,191452122
CHN,MMR,Directed,2143,190735766
MYS,KOR,Directed,7284,168856498
DEU,KOR,Directed,9484,170545981
CZE,SVK,Directed,2922,185143827
USA,PAK,Directed,13399,188096196
THA,BGD,Directed,12051,95105882
SAU,YEM,Directed,10322,182769146
NLD,CHE,Directed,11869,182336464
DEU,MYS,Directed,7197,131651493
ITA,GBR,Directed,13002,182588337
CHN,DEU,Directed,4210,172231170
MEX,COL,Directed,2335,177249000
ITA,NLD,Directed,5972,176573960
NLD,IND,Directed,5231,172473334
VNM,USA,Directed,13487,181643314
ARE,KEN,Directed,12768,159526191
FRA,CZE,Directed,3873,177907582
ARE,OMN,Directed,12807,91206962
DEU,SVN,Directed,10932,160643015
ARE,KWT,Directed,12769,117639727
USA,SAU,Directed,10317,178032043
USA,ZAF,Directed,13443,179132035
SAU,TZA,Directed,10313,89903785
USA,DZA,Directed,13213,89864466
ARE,IRQ,Directed,12757,89528683
ESP,POL,Directed,11421,172130967
BLR,UKR,Directed,725,88968743
MYS,TUR,Directed,7328,165441147
BEL,ROU,Directed,923,171219313
SAU,JPN,Directed,6243,136894092
ARE,TUR,Directed,12650,167760355
ESP,BEL,Directed,951,171201580
UZB,CHN,Directed,13501,166407221
SAU,DEU,Directed,4364,90856164
ITA,CHE,Directed,6033,173377031
GRC,TUR,Directed,4659,171170427
ARE,BHR,Directed,12678,86089216
GBR,POL,Directed,13066,156641977
ARE,SDN,Directed,12847,85557752
ARE,TZA,Directed,12870,85164571
BEL,DZA,Directed,738,85110429
ITA,BEL,Directed,852,155790743
ARE,VNM,Directed,13689,114514885
ARE,DJI,Directed,12720,84396713
SAU,CIV,Directed,2587,161948638
ARE,ITA,Directed,12760,94381497
SVN,ITA,Directed,10949,163274043
CHN,ZAF,Directed,2206,166501280
KOR,AUS,Directed,9416,150015118
SAU,LBN,Directed,10222,83796295
SVK,DEU,Directed,10792,165721021
USA,CIV,Directed,2605,164028205
ITA,AUT,Directed,5837,165440150
KOR,GBR,Directed,13073,165331280
SAU,RUS,Directed,9990,89216268
FRA,USA,Directed,13302,145469811
ITA,ROU,Directed,6005,162450240
ARE,GBR,Directed,12868,87241859
USA,SLV,Directed,3491,161292591
