MMR,MMR,29,72,101,15853122,22840247,38693369,1,0.849151
MNG,MNG,52,42,94,8363963,27945083,36309046,0,0.889145
FJI,FJI,50,44,94,27489263,7028726,34517989,1,0.59251
PRK,PRK,28,90,118,12318726,22097504,34416230,1,0.618477
MLI,MLI,65,32,97,31147549,3158899,34306448,1,0.745624
AGO,AGO,63,14,77,33898047,90405,33988452,1,0.812528
ETH,ETH,100,41,141,33231110,617789,33848899,1,0.607008
ISL,ISL,89,90,179,27092128,4957591,32049719,1,0.687819
MRT,MRT,50,23,73,29038160,104625,29142785,1,0.823349
AFG,AFG,52,37,89,28708284,48569,28756853,1,0.826323
BEN,BEN,65,19,84,27411894,277295,27689189,1,0.72849
BFA,BFA,58,24,82,26673954,982887,27656841,1,0.817204
BWA,BWA,46,31,77,20755305,6289485,27044790,1,0.810656
UGA,UGA,67,36,103,24273779,2729652,27003431,1,0.736316
GEO,GEO,73,49,122,24661077,1076642,25737719,1,0.780638
ZMB,ZMB,60,31,91,18436449,6670775,25107224,1,0.780051
BRN,BRN,51,44,95,23934056,738023,24672079,1,0.790923
COD,COD,45,21,66,23205661,92011,23297672,1,0.781205
BLZ,BLZ,59,25,84,19971450,3270670,23242120,1,0.803807
UZB,UZB,49,30,79,21608647,727862,22336509,1,0.894132
NPL,NPL,37,56,93,9606045,12559827,22165872,1,0.857911
SLB,SLB,24,8,32,20471880,5604,20477484,1,0.882796
BRB,BRB,92,53,145,16748673,2422117,19170790,1,0.612271
GMB,GMB,51,21,72,18507699,93589,18601288,1,0.762929
TJK,TJK,31,20,51,17612873,284118,17896991,1,0.95061
PNG,PNG,55,23,78,17179331,674644,17853975,1,0.666314
LSO,LSO,27,20,47,7855489,8883141,16738630,1,0.879801
SUR,SUR,56,35,91,16383094,301782,16684876,1,0.738095
HTI,HTI,45,37,82,10023024,5784248,15807272,1,0.79661
BHS,BHS,62,32,94,14677291,319735,14997026,1,0.782182
TKM,TKM,36,19,55,14786097,205552,14991649,1,0.895903
WSM,WSM,29,10,39,14845260,20273,14865533,1,0.756629
