A,W,Q,E,R,T,Y,U,I,O,
BLZ,BLZ,67,30,97,13881743,934081,14815824,1,0.004742,0.699123
YEM,YEM,50,24,74,38147566,864917,39012483,1,0.002849,0.819209
WSM,WSM,26,10,36,2684051,858457,3542508,1,0.002155,0.768473
ANT,ANT,49,41,90,5345840,844400,6190240,3,0.003487,0.713221
GNQ,GNQ,28,3,31,1736153,736858,2473011,1,0.002156,0.917488
FSM,FSM,26,7,33,1394652,711220,2105872,1,0.002426,0.668966
LBR,LBR,42,13,55,5198448,628450,5826898,4,0.002618,0.835993
LBY,LBY,55,19,74,34026063,544083,34570146,4,0.003222,0.86764
SDN,SDN,64,19,83,54516231,538692,55054923,4,0.004132,0.815408
TJK,TJK,28,16,44,12909896,421117,13331013,4,0.001983,0.900901
GAB,GAB,66,45,111,9172602,418450,9591052,1,0.004673,0.717782
GIN,GIN,46,21,67,15318686,412685,15731371,4,0.003003,0.814116
VCT,VCT,59,16,75,1804782,402161,2206943,3,0.004195,0.731647
NER,NER,57,34,91,6415786,387194,6802980,4,0.004081,0.738367
ETH,ETH,87,39,126,39889378,363973,40253351,4,0.005865,0.667189
CAF,CAF,27,15,42,1829639,329725,2159364,1,0.001968,0.909159
BEN,BEN,56,24,80,74417760,300232,74717992,4,0.003824,0.77445
SMR,SMR,16,15,31,474130,299069,773199,4,0.001388,0.976285
GIB,GIB,28,14,42,889461,234188,1123649,0,0.002015,0.890476
GRD,GRD,63,20,83,4528255,230627,4758882,1,0.004815,0.715287
TKM,TKM,35,16,51,15717652,213646,15931298,4,0.002339,0.888151
GMB,GMB,49,23,72,16364838,194817,16559655,1,0.003389,0.775141
NCL,NCL,77,22,99,8637586,190899,8828485,1,0.004814,0.736111
PSE,PSE,13,8,21,1732576,171306,1903882,1,0.001196,0.918301
TKL,TKL,9,14,23,128707,163138,291845,0,0.001315,0.80117
FRO,FRO,90,16,106,5441315,159681,5600996,0,0.005755,0.65516
MDV,MDV,43,25,68,5021859,152893,5174752,4,0.002551,0.915918
PYF,PYF,78,26,104,10513420,137524,10650944,1,0.004472,0.748709
SLE,SLE,45,35,80,7890118,132248,8022366,4,0.002905,0.79435
CUB,CUB,92,37,129,71269565,120103,71389668,1,0.005511,0.667273
BMU,BMU,37,15,52,2587561,118872,2706433,2,0.002523,0.886489
LCA,LCA,61,24,85,4754248,117165,4871413,3,0.004404,0.75024
UMI,UMI,9,8,17,84638,113367,198005,2,0.001231,0.828571
DJI,DJI,37,10,47,7166800,112125,7278925,4,0.00246,0.922561
ABW,ABW,47,25,72,2841484,110486,2951970,1,0.003191,0.762013
SOM,SOM,27,7,34,4934170,104673,5038843,1,0.001798,0.933333
BHS,BHS,58,32,90,11880790,104015,11984805,3,0.003771,0.770736
COD,COD,42,22,64,19846239,102641,19948880,1,0.003254,0.829952
PNG,PNG,44,18,62,12770839,97361,12868200,1,0.00303,0.766844
STP,STP,27,12,39,646038,94891,740929,1,0.002248,0.85914
MYT,MYT,62,6,68,2411331,92735,2504066,0,0.003865,0.823109
AGO,AGO,60,14,74,34528924,92646,34621570,1,0.003672,0.793231
ASM,ASM,20,14,34,467647,86266,553913,1,0.001722,0.811667
MRT,MRT,52,22,74,21820881,68740,21889621,1,0.003148,0.827604
DMA,DMA,51,37,88,2219681,68152,2287833,1,0.004102,0.668765
GUM,GUM,24,12,36,3831636,67470,3899106,2,0.001718,0.92735
AFG,AFG,43,37,80,21594315,64174,21658489,4,0.002732,0.792373
MNP,MNP,16,10,26,4127247,60813,4188060,1,0.001338,0.92381
VGB,VGB,36,26,62,639165,58118,697283,0,0.002722,0.752549
GRL,GRL,66,10,76,5854556,57623,5912179,0,0.004438,0.767909
BDI,BDI,39,13,52,1665136,53089,1718225,4,0.003032,0.845515
IRQ,IRQ,46,7,53,73246255,51992,73298247,0,0.002833,0.89406
SHN,SHN,8,12,20,116392,50441,166833,0,0.001077,0.875817
TCA,TCA,20,10,30,478126,49808,527934,0,0.001804,0.879447
BTN,BTN,14,11,25,369768,49671,419439,2,0.001255,0.914286
NFK,NFK,9,4,13,73640,49455,123095,1,0.00106,1
RWA,RWA,48,10,58,8454452,44949,8499401,1,0.00309,0.815476
CXR,CXR,7,9,16,146176,38391,184567,2,0.000931,0.909524
ERI,ERI,53,15,68,3961940,38192,4000132,4,0.003548,0.823701
COG,COG,48,20,68,12855535,35731,12891266,1,0.003455,0.778571
NRU,NRU,13,10,23,63439,34035,97474,1,0.001206,0.841897
TLS,TLS,15,7,22,1228044,28401,1256445,1,0.001332,0.961988
KNA,KNA,47,25,72,1420284,26730,1447014,3,0.003971,0.68961
CYM,CYM,31,15,46,1492216,22126,1514342,1,0.002459,0.846373
GNB,GNB,24,6,30,2865699,21130,2886829,1,0.002033,0.757835
TCD,TCD,36,9,45,4450739,18425,4469164,1,0.002402,0.88478
AIA,AIA,38,12,50,291488,18196,309684,3,0.003439,0.706131
PLW,PLW,7,4,11,183197,16436,199633,1,0.000979,0.922222
KIR,KIR,11,5,16,339394,15472,354866,1,0.001195,0.901099
PCN,PCN,4,6,10,115800,15334,131134,0,0.00087,0.75
ATF,ATF,5,4,9,52026,13506,65532,0,0.000944,0.732143
WLF,WLF,28,2,30,197323,12643,209966,0,0.002121,0.923645
CCK,CCK,4,8,12,11392,10078,21470,0,0.00083,0.990909
MHL,MHL,20,8,28,390901,9700,400601,1,0.001532,0.913333
COK,COK,19,10,29,1057095,9268,1066363,1,0.001603,0.971861
SLB,SLB,21,10,31,1127331,8564,1135895,1,0.001681,0.843305
SYC,SYC,47,15,62,3479735,8268,3488003,0,0.003034,0.836727
COM,COM,28,7,35,1909992,8214,1918206,4,0.0026,0.863301
IOT,IOT,2,11,13,2733,7454,10187,0,0.00079,0.818182
NIU,NIU,6,4,10,10038,6634,16672,1,0.000917,0.766667
TON,TON,21,10,31,446605,3668,450273,1,0.001759,0.849003
VUT,VUT,22,4,26,828336,2322,830658,1,0.001796,0.929348
TUV,TUV,6,6,12,124941,1808,126749,1,0.000975,0.833333
FLK,FLK,10,7,17,43827,1268,45095,0,0.001126,0.971429
SPM,SPM,9,4,13,234787,1044,235831,1,0.001125,0.865385
MSR,MSR,20,7,27,574240,893,575133,0,0.001959,0.835145
VAT,VAT,5,7,12,14119,569,14688,0,0.000899,0.927273
SGS,SGS,4,2,6,20455,8,20463,0,0.000832,1
ESH,ESH,0,2,2,0,4,4,0,0.00067,1
