ZMB,ZMB,39,7,46,74368176,217061,74585237,1,0.004818,0,13,0.720732
TLS,TLS,3,2,5,136942,195600,332542,1,0.000904,0,13,0.8
AFG,AFG,17,7,24,11450713,171169,11621882,1,0.001868,0,13,0.822134
NAM,NAM,25,12,37,10589867,158689,10748556,2,0.003192,0,13,0.780423
ETH,ETH,58,5,63,163196212,150648,163346860,1,0.006863,0,13,0.681356
KHM,KHM,21,5,26,44557061,116789,44673850,2,0.002349,0,13,0.889328
MNP,MNP,3,3,6,21696,114251,135947,0,0.000871,0,13,0.666667
ASM,ASM,2,5,7,809,112664,113473,1,0.000983,0,13,0.714286
TKL,TKL,5,4,9,192849,107592,300441,0,0.001403,0,13,0.589286
NCL,NCL,28,5,33,9852675,102619,9955294,2,0.00243,0,13,0.815524
ABW,ABW,49,11,60,4173585,101382,4274967,0,0.007216,0,13,0.665098
LCA,LCA,15,3,18,1606977,93506,1700483,3,0.002824,0,13,0.7125
RWA,RWA,21,6,27,30135235,87071,30222306,1,0.00278,0,13,0.820652
PNG,PNG,19,4,23,7690754,81017,7771771,2,0.00202,0,13,0.935673
WLF,WLF,5,1,6,187541,80784,268325,1,0.001576,0,13,0.566667
SHN,SHN,5,5,10,43349,76647,119996,1,0.001029,0,13,0.847222
TCD,TCD,7,1,8,688099,75625,763724,4,0.001164,0,13,1
CUB,CUB,43,13,56,42786654,69124,42855778,0,0.004194,0,13,0.752544
CMR,CMR,50,8,58,58829778,67093,58896871,1,0.007949,0,13,0.710407
BTN,BTN,14,2,16,7265003,66960,7331963,1,0.00152,0,13,0.947619
HTI,HTI,18,3,21,8496095,65839,8561934,3,0.002283,0,13,0.889474
MOZ,MOZ,37,7,44,54715661,64007,54779668,1,0.004103,0,13,0.73141
CCK,CCK,3,1,4,35100,52920,88020,3,0.000896,0,13,1
STP,STP,4,3,7,63529,51802,115331,4,0.000991,0,13,0.833333
MSR,MSR,4,2,6,2219,50004,52223,1,0.002666,0,13,0.6
SYC,SYC,27,4,31,794092,49172,843264,1,0.002748,0,13,0.802956
MNG,MNG,20,1,21,10984890,49115,11034005,0,0.002125,0,13,0.960526
WSM,WSM,7,2,9,201908,43500,245408,1,0.001297,0,13,0.847222
GIN,GIN,35,4,39,43274782,42237,43317019,1,0.003689,0,13,0.854762
GRL,GRL,12,1,13,232880,40000,272880,4,0.001361,0,13,1
GNQ,GNQ,14,2,16,1215153,37914,1253067,3,0.002551,0,13,0.833333
ATA,ATA,2,1,3,10004,34000,44004,1,0.000889,0,13,0.5
SUR,SUR,22,3,25,11405276,32133,11437409,3,0.002598,0,13,0.826667
NRU,NRU,2,3,5,3335,31500,34835,4,0.000861,0,13,1
ERI,ERI,10,2,12,15143344,30362,15173706,1,0.001549,0,13,0.881818
AIA,AIA,3,3,6,5116401,29310,5145711,1,0.000987,0,13,0.6
MMR,MMR,22,5,27,108912806,25525,108938331,2,0.002021,0,13,0.983333
UMI,UMI,2,2,4,17400,23380,40780,4,0.000843,0,13,0.833333
ATG,ATG,15,8,23,611102,21714,632816,3,0.0038,0,13,0.735714
ATF,ATF,1,1,2,27094,21325,48419,1,0.000893,0,13,0.5
AGO,AGO,32,1,33,35753755,21019,35774774,1,0.003077,0,13,0.828598
CPV,CPV,17,7,24,2745192,20486,2765678,0,0.00184,0,13,0.888889
IOT,IOT,1,3,4,60000,17682,77682,3,0.000805,0,13,0.666667
COM,COM,8,1,9,82677,17216,99893,1,0.002711,0,13,0.666667
FRO,FRO,15,4,19,1991044,14062,2005106,4,0.001554,0,13,0.859477
GUM,GUM,6,1,7,75264,13574,88838,1,0.001099,0,4,0.738095
