CIV,CIV,46,21,67,162087117,15516110,177603227,1,0.629159
TCA,TCA,5,2,7,14662600,316558,14979158,0,1
LVA,LVA,44,31,75,137655373,13268916,150924289,2,0.734761
PRK,PRK,17,49,66,23966548,16383313,40349861,3,0.493108
EST,EST,45,50,95,109792003,46826016,156618019,2,0.632873
GUY,GUY,24,2,26,18658113,107,18658220,0,0.778986
MWI,MWI,34,4,38,40004679,32882,40037561,1,0.719328
MUS,MUS,40,18,58,49979558,1614955,51594513,1,0.648163
BIH,BIH,48,16,64,79059652,984438,80044090,2,0.815901
MKD,MKD,43,15,58,69587070,5608243,75195313,2,0.773232
NPL,NPL,23,2,25,12238422,8880617,21119039,1,0.926877
KGZ,KGZ,23,9,32,32468126,121157,32589283,0,0.817664
KHM,KHM,22,5,27,29456941,223041,29679982,1,0.905
MDA,MDA,38,5,43,40749840,280262,41030102,2,0.926031
SEN,SEN,42,27,69,87977952,9215049,97193001,2,0.497458
CUB,CUB,41,9,50,37080452,294961,37375413,0,0.778746
LAO,LAO,10,6,16,8100779,220057,8320836,1,0.948718
FJI,FJI,19,8,27,33604313,146171,33750484,1,0.556159
MDV,MDV,19,3,22,9202678,187200,9389878,1,0.984211
SYC,SYC,30,4,34,8507655,155320,8662975,1,0.911828
NIC,NIC,32,12,44,21302597,9721426,31024023,3,0.812605
PSE,PSE,8,1,9,8116037,12,8116049,1,0.861111
MLT,MLT,44,26,70,56029910,2294661,58324571,1,0.75856
SWZ,SWZ,9,19,28,7223750,3429159,10652909,1,0.525974
TGO,TGO,34,10,44,25559248,1319187,26878435,1,0.67439
RWA,RWA,21,2,23,11212859,6100,11218959,1,0.79249
CYP,CYP,52,30,82,85774154,4643593,90417747,1,0.720174
HTI,HTI,14,2,16,8772462,20429,8792891,0,0.880952
NAM,NAM,22,8,30,10571844,190335,10762179,2,0.846014
SUR,SUR,21,6,27,8865007,129372,8994379,0,0.755
COD,COD,27,7,34,11381425,59070,11440495,1,0.74023
TJK,TJK,14,1,15,2701000,4218000,6919000,1,0.790476
ISL,ISL,30,43,73,32924671,822061,33746732,1,0.704751
MDG,MDG,40,12,52,27384524,868780,28253304,0,0.756678
MLI,MLI,36,13,49,24039273,454889,24494162,1,0.756678
GIN,GIN,30,3,33,18151001,70585,18221586,1,0.854839
IOT,IOT,2,1,3,2745328,234000,2979328,0,1
FRO,FRO,17,4,21,2404310,707921,3112231,2,0.888889
MNG,MNG,13,0,13,6216649,0,6216649,0,0.99359
PNG,PNG,23,5,28,11299871,93579,11393450,1,0.724638
SLE,SLE,21,6,27,5468250,279879,5748129,1,0.851667
PYF,PYF,21,3,24,7615736,128205,7743941,1,0.937229
GNB,GNB,9,1,10,2450414,7720,2458134,1,0.888889
NER,NER,19,13,32,3186397,481911,3668308,0,0.62
NCL,NCL,22,5,27,8718499,81949,8800448,1,0.818333
SMR,SMR,8,6,14,2276241,45009,2321250,2,1
BFA,BFA,24,5,29,7596788,146623,7743411,1,0.64245
BLZ,BLZ,17,10,27,2254472,354517,2608989,0,0.740942
GMB,GMB,22,4,26,2169227,45774,2215001,2,0.77
ASM,ASM,3,6,9,263194,1409106,1672300,1,0.513889
VCT,VCT,10,2,12,1169712,16607,1186319,0,0.722222
BEN,BEN,29,2,31,4152901,137358,4290259,2,0.734483
LCA,LCA,13,2,15,1620548,423,1620971,1,0.737179
BTN,BTN,3,3,6,719292,10830,730122,1,0.833333
CPV,CPV,14,2,16,2445732,24100,2469832,2,0.901099
